Sector,Ticker,H16_b,H16_p,H16_sig,H9_OR,H9_p,H9_sig,H20_p,H20_sig,H22_ratio,H22_p,H22_sig
Technology,AAPL,0.246,0.2486,no,1.16,0.0002,yes,0.1667,no,1.07,0.0816,no
Technology,MSFT,0.335,0.2161,no,1.186,0.0,yes,0.8333,no,,,no
Technology,NVDA,-0.054,0.5899,no,1.224,0.0,yes,0.8333,no,,,no
Financials,JPM,-0.029,0.5391,no,1.247,0.0,yes,0.5,no,0.81,0.564,no
Financials,BAC,0.22,0.2067,no,1.282,0.0,yes,0.5,no,0.84,0.9126,no
Financials,GS,0.551,0.0118,yes,1.212,0.0,yes,0.8333,no,0.81,0.6747,no
Energy,XOM,0.549,0.0154,yes,1.199,0.0,yes,0.1667,no,,,no
Energy,CVX,0.335,0.0693,no,1.136,0.0013,yes,0.8333,no,,,no
Energy,COP,0.668,0.0005,yes,1.183,0.0,yes,1.0,no,1.74,0.0262,yes
Health Care,JNJ,1.302,0.0001,yes,1.082,0.034,yes,1.0,no,,,no
Health Care,UNH,0.481,0.0047,yes,1.175,0.0001,yes,0.5,no,1.13,0.1915,no
Health Care,LLY,1.411,0.0002,yes,1.107,0.0087,yes,0.5,no,1.15,0.1293,no
Industrials,CAT,0.51,0.0571,no,1.083,0.0311,yes,0.1667,no,0.89,0.8401,no
Industrials,BA,0.175,0.2144,no,1.212,0.0,yes,0.8333,no,1.17,0.2241,no
Industrials,HON,0.883,0.0012,yes,1.185,0.0,yes,0.8333,no,,,no
Consumer Disc.,AMZN,-0.69,0.9949,no,1.128,0.0023,yes,0.8333,no,1.13,0.0537,no
Consumer Disc.,HD,0.267,0.1366,no,1.209,0.0,yes,0.5,no,0.76,0.8639,no
Consumer Disc.,TSLA,0.411,0.1709,no,1.073,0.0512,no,0.5,no,,,no
Consumer Staples,PG,0.833,0.0161,yes,1.094,0.0175,yes,1.0,no,0.73,0.7354,no
Consumer Staples,KO,0.691,0.0043,yes,1.144,0.0007,yes,0.5,no,,,no
Consumer Staples,COST,0.129,0.407,no,1.127,0.0025,yes,0.8333,no,0.66,0.9573,no
Utilities,NEE,0.365,0.2251,no,1.078,0.0397,yes,1.0,no,1.51,0.0016,yes
Utilities,DUK,0.924,0.0,yes,1.131,0.0018,yes,0.8333,no,,,no
Utilities,SO,0.526,0.0421,yes,1.128,0.0023,yes,1.0,no,,,no
Materials,LIN,0.198,0.2877,no,1.113,0.006,yes,0.1667,no,,,no
Materials,FCX,0.658,0.0592,no,1.119,0.0041,yes,1.0,no,0.79,0.9066,no
Materials,SHW,0.32,0.0413,yes,1.058,0.098,no,0.8333,no,0.97,0.5084,no
Real Estate,AMT,0.662,0.0006,yes,1.129,0.0021,yes,0.5,no,1.4,0.0733,no
Real Estate,PLD,0.15,0.2645,no,1.156,0.0003,yes,0.5,no,1.01,0.5802,no
Real Estate,SPG,-0.176,0.6921,no,1.186,0.0,yes,0.5,no,1.04,0.2837,no
Communication Svcs,GOOGL,0.474,0.075,no,1.103,0.0111,yes,0.8333,no,1.05,0.4469,no
Communication Svcs,META,-0.576,0.9958,no,1.078,0.0406,yes,0.8333,no,0.94,0.0247,yes
Communication Svcs,NFLX,-0.576,1.0,no,1.101,0.0121,yes,0.5,no,0.67,0.9535,no
